3.263495e-06+0.000000e+00i 1.981851e-06+0.000000e+00i
3.324556e-06+0.000000e+00i 1.999367e-06+0.000000e+00i
3.266383e-06+0.000000e+00i 2.022788e-06+0.000000e+00i
3.245653e-06+0.000000e+00i 1.975329e-06+0.000000e+00i
3.319018e-06+0.000000e+00i 2.017007e-06+0.000000e+00i
3.262211e-06+0.000000e+00i 1.987321e-06+0.000000e+00i
3.295442e-06+0.000000e+00i 1.996834e-06+0.000000e+00i
3.260440e-06+0.000000e+00i 2.026237e-06+0.000000e+00i
3.291694e-06+0.000000e+00i 1.970843e-06+0.000000e+00i
3.293423e-06+0.000000e+00i 2.015324e-06+0.000000e+00i
3.226124e-06+0.000000e+00i 1.996823e-06+0.000000e+00i
3.320125e-06+0.000000e+00i 1.995943e-06+0.000000e+00i
3.259813e-06+0.000000e+00i 2.003814e-06+0.000000e+00i
3.302585e-06+0.000000e+00i 2.005250e-06+0.000000e+00i
3.244017e-06+0.000000e+00i 2.000835e-06+0.000000e+00i
3.273419e-06+0.000000e+00i 1.989672e-06+0.000000e+00i
3.288845e-06+0.000000e+00i 2.005150e-06+0.000000e+00i
3.251833e-06+0.000000e+00i 1.997412e-06+0.000000e+00i
3.303543e-06+0.000000e+00i 1.998216e-06+0.000000e+00i
3.265166e-06+0.000000e+00i 2.014355e-06+0.000000e+00i
3.283389e-06+0.000000e+00i 1.974751e-06+0.000000e+00i
3.225535e-06+0.000000e+00i 2.008900e-06+0.000000e+00i
3.302805e-06+0.000000e+00i 2.013944e-06+0.000000e+00i
3.267992e-06+0.000000e+00i 1.982142e-06+0.000000e+00i
3.248121e-06+0.000000e+00i 2.007008e-06+0.000000e+00i
3.284240e-06+0.000000e+00i 1.980909e-06+0.000000e+00i
3.271419e-06+0.000000e+00i 2.008591e-06+0.000000e+00i
3.277299e-06+0.000000e+00i 2.019058e-06+0.000000e+00i
3.219108e-06+0.000000e+00i 1.981858e-06+0.000000e+00i
3.291741e-06+0.000000e+00i 2.011646e-06+0.000000e+00i
3.251951e-06+0.000000e+00i 1.976339e-06+0.000000e+00i
3.251275e-06+0.000000e+00i 2.023465e-06+0.000000e+00i
3.266325e-06+0.000000e+00i 1.978375e-06+0.000000e+00i
3.262282e-06+0.000000e+00i 2.008959e-06+0.000000e+00i
3.284903e-06+0.000000e+00i 2.020752e-06+0.000000e+00i
3.203934e-06+0.000000e+00i 1.961622e-06+0.000000e+00i
3.273877e-06+0.000000e+00i 2.027301e-06+0.000000e+00i
3.232719e-06+0.000000e+00i 1.969425e-06+0.000000e+00i
3.253832e-06+0.000000e+00i 2.019151e-06+0.000000e+00i
3.272377e-06+0.000000e+00i 2.000182e-06+0.000000e+00i
3.226914e-06+0.000000e+00i 1.995165e-06+0.000000e+00i
3.270850e-06+0.000000e+00i 2.020021e-06+0.000000e+00i
3.211973e-06+0.000000e+00i 1.956252e-06+0.000000e+00i
3.231657e-06+0.000000e+00i 2.015140e-06+0.000000e+00i
3.260181e-06+0.000000e+00i 1.991302e-06+0.000000e+00i
3.227019e-06+0.000000e+00i 2.009457e-06+0.000000e+00i
3.245583e-06+0.000000e+00i 2.010756e-06+0.000000e+00i
3.229944e-06+0.000000e+00i 1.980482e-06+0.000000e+00i
3.258745e-06+0.000000e+00i 2.026070e-06+0.000000e+00i
3.205851e-06+0.000000e+00i 1.964272e-06+0.000000e+00i
3.232725e-06+0.000000e+00i 1.998432e-06+0.000000e+00i
3.259506e-06+0.000000e+00i 2.007257e-06+0.000000e+00i
3.206903e-06+0.000000e+00i 2.011287e-06+0.000000e+00i
3.231854e-06+0.000000e+00i 2.010246e-06+0.000000e+00i
3.233288e-06+0.000000e+00i 1.967687e-06+0.000000e+00i
3.216336e-06+0.000000e+00i 2.027066e-06+0.000000e+00i
3.248207e-06+0.000000e+00i 1.972283e-06+0.000000e+00i
3.189919e-06+0.000000e+00i 1.994169e-06+0.000000e+00i
3.262700e-06+0.000000e+00i 2.010792e-06+0.000000e+00i
3.191989e-06+0.000000e+00i 1.992342e-06+0.000000e+00i
3.225023e-06+0.000000e+00i 2.027400e-06+0.000000e+00i
3.234765e-06+0.000000e+00i 1.969017e-06+0.000000e+00i
3.212451e-06+0.000000e+00i 2.016195e-06+0.000000e+00i
3.254518e-06+0.000000e+00i 1.978982e-06+0.000000e+00i
3.183167e-06+0.000000e+00i 2.005195e-06+0.000000e+00i
3.256554e-06+0.000000e+00i 2.005596e-06+0.000000e+00i
3.193804e-06+0.000000e+00i 1.986982e-06+0.000000e+00i
3.226782e-06+0.000000e+00i 2.024689e-06+0.000000e+00i
3.229191e-06+0.000000e+00i 1.969105e-06+0.000000e+00i
